CustomerID,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,IncomeCategory,AgeGroup,ProdTaken
300024,29.0,1,3,16.0,2,1,3,3.0,0,3.0,2,2.0,0,4,1,0.0,1,17642.0,1,1,0
300025,51.0,1,3,27.0,3,1,3,3.0,1,3.0,2,1.0,1,5,0,2.0,2,20441.0,1,3,0
300026,39.0,1,1,6.0,3,1,2,2.0,3,3.0,1,1.0,0,3,1,0.0,3,24613.0,1,2,0
300027,37.0,1,3,22.0,3,1,3,4.0,1,3.0,1,5.0,0,5,1,2.0,2,21334.0,1,2,0
300028,33.0,0,3,23.0,2,1,2,3.0,4,3.0,2,2.0,0,3,1,1.0,0,32444.0,2,1,0
300029,51.0,0,3,19.0,3,0,4,4.0,3,3.0,3,6.0,0,5,1,3.0,3,27886.0,2,3,0
300030,42.0,1,1,12.0,2,1,3,2.0,1,4.0,3,5.0,0,5,1,1.0,2,25548.0,2,2,0
300031,33.0,1,3,15.0,1,0,4,5.0,1,4.0,0,3.0,1,2,1,1.0,2,23906.0,1,1,0
300032,30.0,0,1,17.0,2,0,4,4.0,0,4.0,1,2.0,0,5,1,1.0,1,21969.0,1,1,0
300033,41.0,1,3,7.0,3,1,3,6.0,1,3.0,0,4.0,1,3,1,1.0,2,26135.0,2,2,0
300034,38.0,0,1,12.0,1,1,3,2.0,0,3.0,3,2.0,0,5,1,1.0,1,22178.0,1,2,0
300035,28.0,0,3,9.0,2,1,3,6.0,1,3.0,3,5.0,0,4,1,2.0,2,23749.0,1,1,0
300036,27.0,1,1,24.0,3,1,4,6.0,0,3.0,1,3.0,0,3,0,3.0,1,20983.0,1,1,0
300037,27.0,1,1,11.0,2,0,2,3.0,0,4.0,2,2.0,1,3,0,1.0,1,17478.0,1,1,0
300038,24.0,1,1,11.0,3,1,3,2.0,0,5.0,1,4.0,0,4,0,2.0,1,21497.0,1,0,0
300039,34.0,0,1,22.0,2,0,3,4.0,0,3.0,2,2.0,0,5,1,2.0,1,17553.0,1,1,0
300040,37.0,1,3,17.0,3,1,3,5.0,3,5.0,1,2.0,0,5,0,1.0,3,25772.0,2,2,1
300041,34.0,0,1,7.0,3,1,3,4.0,1,5.0,2,1.0,0,1,0,0.0,2,20343.0,1,1,0
300042,30.0,0,3,32.0,3,0,2,4.0,1,5.0,3,6.0,0,2,0,1.0,2,21696.0,1,1,1
300043,27.0,1,1,23.0,1,1,2,3.0,0,4.0,1,1.0,1,4,0,0.0,1,18058.0,1,1,0
300044,36.0,1,1,9.0,2,1,3,5.0,3,4.0,1,4.0,0,4,1,1.0,3,28952.0,2,2,0
300045,40.0,1,1,30.0,1,1,3,3.0,1,3.0,1,2.0,0,3,1,1.0,2,18319.0,1,2,0
300046,38.0,1,1,7.0,1,0,3,4.0,3,3.0,3,6.0,0,5,1,2.0,3,26169.0,2,2,0
300047,33.0,1,3,9.0,3,1,3,5.0,1,4.0,2,2.0,1,1,1,1.0,2,28585.0,2,1,1
300048,30.0,1,1,16.0,2,1,2,5.0,0,3.0,3,2.0,0,1,1,1.0,1,22661.0,1,1,0
300049,52.0,1,1,6.0,2,1,3,3.0,4,3.0,1,3.0,0,1,1,2.0,0,32099.0,2,3,0
300050,33.0,1,3,7.0,2,1,3,6.0,1,4.0,3,8.0,0,3,0,2.0,2,25413.0,2,1,1
300051,20.0,0,1,17.0,3,0,4,5.0,0,4.0,2,3.0,1,5,0,3.0,1,20537.0,1,0,1
300052,38.0,0,1,29.0,2,1,2,4.0,3,3.0,3,1.0,0,3,0,0.0,3,24526.0,1,2,0
300053,31.0,1,1,17.0,2,1,2,3.0,0,3.0,1,4.0,1,3,0,0.0,1,17356.0,1,1,0
300054,52.0,1,1,11.0,2,1,3,4.0,0,3.0,0,2.0,1,2,1,2.0,1,21139.0,1,3,1
300055,39.0,1,1,10.0,1,0,3,4.0,1,3.0,3,5.0,1,5,1,1.0,2,22995.0,1,2,0
300056,40.0,1,3,11.0,2,0,3,5.0,1,3.0,1,6.0,0,5,1,2.0,2,24580.0,1,2,0
300057,26.0,1,1,26.0,3,1,4,4.0,0,3.0,0,5.0,0,5,1,3.0,1,22347.0,1,1,0
300058,47.0,0,3,15.0,2,1,2,5.0,4,3.0,1,1.0,0,5,1,1.0,0,27936.0,2,3,1
300059,28.0,1,3,16.0,3,1,3,3.0,0,4.0,1,2.0,0,5,0,2.0,1,16052.0,1,1,0
300060,19.0,0,1,15.0,3,1,4,4.0,0,3.0,2,3.0,0,5,0,1.0,1,20582.0,1,0,1
300061,52.0,1,3,9.0,3,1,2,4.0,4,5.0,1,2.0,0,5,1,0.0,0,31856.0,2,3,0
300062,20.0,0,3,7.0,1,0,4,6.0,0,5.0,2,2.0,0,3,1,2.0,1,21003.0,1,0,1
300063,43.0,1,3,15.0,3,1,3,4.0,1,4.0,0,2.0,0,3,0,2.0,2,25503.0,2,2,0
300064,30.0,1,1,8.0,2,0,4,4.0,0,3.0,1,3.0,0,1,1,3.0,1,22438.0,1,1,0
300065,51.0,0,3,7.0,2,1,4,4.0,1,3.0,1,2.0,0,3,1,2.0,2,25406.0,2,3,1
300066,41.0,0,1,16.0,2,1,4,5.0,1,3.0,1,2.0,0,5,0,2.0,2,23554.0,1,2,0
300067,33.0,0,3,15.0,3,0,3,4.0,3,3.0,3,3.0,0,4,1,2.0,3,27676.0,2,1,0
300068,22.0,0,3,16.0,3,1,3,4.0,0,3.0,3,3.0,0,4,0,1.0,1,21288.0,1,0,0
300069,40.0,1,1,16.0,2,0,2,1.0,0,3.0,1,4.0,1,3,0,1.0,1,17213.0,1,2,0
300070,53.0,1,3,6.0,3,0,2,3.0,1,5.0,3,1.0,0,1,1,1.0,2,23381.0,1,3,0
300071,29.0,0,1,9.0,3,1,3,5.0,0,5.0,2,2.0,0,4,0,1.0,1,21239.0,1,1,1
300072,44.0,0,1,16.0,3,1,4,4.0,1,3.0,1,5.0,1,3,1,3.0,2,24357.0,1,2,0
300073,23.0,1,1,13.0,3,1,4,4.0,0,3.0,0,2.0,0,2,1,1.0,1,21451.0,1,0,0
300074,43.0,1,1,36.0,3,1,3,6.0,1,3.0,3,6.0,0,3,1,1.0,2,22950.0,1,2,0
300075,33.0,0,3,23.0,2,1,2,3.0,4,3.0,2,2.0,0,3,1,0.0,0,32444.0,2,1,0
300076,37.0,0,3,7.0,3,0,3,4.0,1,3.0,3,6.0,0,1,1,2.0,2,25331.0,2,2,0
300077,37.0,1,1,16.0,2,0,2,1.0,3,3.0,1,2.0,1,1,0,1.0,3,28744.0,2,2,0
300078,40.0,1,3,10.0,3,0,3,4.0,1,3.0,1,6.0,1,4,1,2.0,2,23916.0,1,2,1
300079,36.0,1,1,7.0,2,0,3,2.0,0,3.0,2,5.0,0,3,1,2.0,1,21184.0,1,2,0
300080,50.0,1,1,23.0,3,0,4,4.0,0,5.0,1,6.0,1,1,1,2.0,1,21265.0,1,3,0
300081,21.0,0,3,6.0,1,0,3,4.0,0,4.0,2,2.0,1,5,1,2.0,1,17174.0,1,0,1
300082,28.0,1,3,9.0,3,0,4,6.0,2,4.0,2,4.0,1,5,1,2.0,4,21195.0,1,1,1
300083,52.0,1,1,15.0,2,1,3,5.0,3,4.0,0,7.0,0,3,1,2.0,3,31168.0,2,3,0
300084,40.0,1,1,14.0,3,1,3,4.0,0,3.0,3,2.0,1,4,1,2.0,1,24094.0,1,2,1
300085,29.0,1,1,12.0,3,0,2,3.0,0,3.0,1,2.0,0,3,0,1.0,1,18131.0,1,1,0
300086,35.0,0,1,17.0,3,1,3,4.0,3,5.0,0,3.0,1,5,1,1.0,3,24884.0,1,1,0
300087,38.0,1,3,13.0,3,1,4,4.0,1,3.0,1,6.0,0,3,1,1.0,2,25180.0,2,2,0
300088,51.0,0,1,6.0,3,0,1,4.0,3,5.0,3,4.0,0,2,1,0.0,3,22484.0,1,3,0
300089,22.0,0,3,16.0,3,1,3,4.0,0,3.0,3,3.0,0,4,1,1.0,1,21288.0,1,0,0
300090,36.0,1,2,19.0,2,1,2,3.0,0,4.0,1,5.0,0,3,1,1.0,1,17143.0,1,2,0
300091,31.0,1,1,17.0,3,1,3,3.0,1,5.0,1,2.0,1,1,1,1.0,2,21833.0,1,1,0
300092,28.0,1,3,16.0,3,1,3,4.0,1,3.0,3,3.0,0,1,0,2.0,2,22783.0,1,1,0
300093,50.0,1,1,7.0,1,0,3,5.0,4,3.0,2,2.0,1,3,0,1.0,0,32642.0,2,3,0
300094,28.0,1,1,13.0,2,1,3,5.0,0,3.0,1,3.0,0,1,1,2.0,1,21217.0,1,1,0
300095,40.0,1,1,14.0,2,0,3,3.0,1,5.0,1,3.0,1,1,0,0.0,2,21516.0,1,2,0
300096,29.0,1,1,21.0,2,1,2,3.0,0,3.0,2,2.0,0,3,0,0.0,1,17340.0,1,1,0
300097,40.0,1,1,17.0,3,1,4,4.0,3,3.0,2,2.0,0,3,1,1.0,3,32142.0,2,2,0
300098,29.0,0,1,7.0,3,1,3,4.0,0,3.0,2,2.0,1,4,0,1.0,1,20832.0,1,1,0
300099,31.0,1,1,8.0,3,1,4,4.0,0,4.0,1,2.0,1,4,1,3.0,1,22257.0,1,1,0
300100,41.0,1,1,15.0,2,1,3,3.0,0,5.0,0,3.0,0,2,0,2.0,1,17238.0,1,2,0
300101,31.0,0,3,8.0,2,0,2,4.0,0,3.0,2,1.0,0,5,0,1.0,1,17785.0,1,1,1
300102,21.0,1,1,7.0,2,0,3,5.0,0,4.0,3,3.0,0,4,1,1.0,1,21514.0,1,0,0
300103,42.0,1,3,15.0,3,0,3,4.0,1,4.0,1,7.0,0,3,1,2.0,2,23071.0,1,2,0
300104,29.0,1,3,12.0,3,1,4,4.0,1,3.0,3,3.0,0,3,0,2.0,2,23586.0,1,1,0
300105,54.0,0,1,7.0,3,0,3,5.0,4,3.0,1,6.0,1,1,0,1.0,0,31643.0,2,3,0
300106,59.0,0,2,8.0,2,0,2,4.0,2,3.0,0,1.0,0,2,1,1.0,4,33844.0,2,4,0
300107,51.0,1,1,6.0,2,1,3,3.0,0,3.0,0,2.0,0,4,1,0.0,1,17723.0,1,3,0
300108,32.0,0,1,27.0,2,1,4,4.0,3,3.0,0,5.0,0,3,1,1.0,3,28502.0,2,1,1
300109,37.0,0,3,15.0,1,1,3,4.0,1,3.0,1,6.0,0,3,1,2.0,2,23757.0,1,2,0
300110,56.0,0,3,12.0,2,0,2,2.0,4,5.0,0,1.0,0,3,1,0.0,0,28212.0,2,4,0
300111,60.0,1,1,13.0,2,0,2,3.0,2,5.0,1,6.0,0,5,1,0.0,4,34566.0,2,4,0
300112,30.0,1,1,25.0,3,1,3,5.0,0,3.0,2,3.0,1,3,0,2.0,1,21067.0,1,1,1
300113,30.0,1,1,35.0,3,0,4,5.0,0,5.0,3,3.0,0,1,0,2.0,1,22463.0,1,1,0
300114,47.0,1,2,12.0,3,1,4,4.0,1,4.0,1,2.0,1,5,1,3.0,2,23699.0,1,3,0
300115,37.0,0,3,17.0,3,1,3,4.0,3,3.0,2,3.0,0,1,1,2.0,3,28658.0,2,2,0
300116,29.0,1,1,28.0,3,1,3,4.0,0,3.0,1,3.0,0,1,0,1.0,1,21391.0,1,1,0
300117,36.0,1,1,7.0,3,1,2,5.0,0,3.0,3,3.0,0,4,1,1.0,1,21537.0,1,2,0
300118,23.0,1,1,16.0,1,1,2,1.0,0,3.0,1,3.0,0,1,1,0.0,1,17073.0,1,0,0
300119,32.0,1,1,15.0,2,0,4,4.0,1,3.0,3,3.0,0,5,0,2.0,2,23102.0,1,1,0
300120,41.0,0,1,9.0,3,0,3,2.0,1,4.0,1,3.0,0,3,0,1.0,2,22922.0,1,2,0
300121,34.0,1,1,7.0,2,1,4,5.0,0,5.0,3,5.0,1,4,0,1.0,1,21477.0,1,1,0
300122,37.0,1,1,7.0,2,0,3,4.0,1,4.0,1,2.0,0,5,1,2.0,2,23906.0,1,2,0
300123,36.0,1,1,14.0,1,0,2,3.0,3,3.0,1,2.0,0,4,1,1.0,3,25096.0,2,2,0
300124,33.0,0,3,11.0,2,1,3,3.0,1,3.0,0,7.0,0,1,1,2.0,2,24998.0,1,1,0
300125,37.0,0,1,25.0,2,1,3,2.0,0,3.0,1,6.0,0,5,1,2.0,1,22366.0,1,2,0
300126,55.0,1,1,24.0,1,0,3,4.0,3,3.0,0,2.0,0,5,1,1.0,3,29417.0,2,3,0
300127,32.0,1,1,33.0,2,1,3,4.0,0,3.0,1,3.0,0,3,1,2.0,1,21589.0,1,1,0
300128,45.0,1,1,13.0,2,1,2,3.0,3,5.0,1,3.0,0,3,1,1.0,3,24724.0,1,2,0
300129,50.0,1,1,32.0,2,0,3,4.0,0,5.0,1,3.0,0,3,0,1.0,1,21889.0,1,3,0
300130,20.0,1,3,28.0,2,1,3,5.0,0,4.0,2,3.0,1,2,0,2.0,1,20799.0,1,0,1
300131,35.0,1,1,14.0,2,1,2,1.0,0,3.0,1,2.0,0,5,1,1.0,1,17269.0,1,1,0
300132,35.0,1,3,6.0,3,1,3,3.0,3,4.0,1,2.0,0,4,0,0.0,3,22295.0,1,1,0
300133,54.0,1,1,25.0,3,0,3,3.0,1,5.0,1,1.0,1,3,0,2.0,2,20485.0,1,3,0
300134,33.0,1,1,27.0,3,1,3,1.0,0,4.0,1,2.0,0,1,1,1.0,1,17028.0,1,1,0
300135,36.0,0,1,7.0,3,1,4,4.0,0,5.0,1,6.0,0,1,0,2.0,1,20872.0,1,2,0
300136,37.0,1,1,10.0,2,0,3,4.0,0,3.0,1,7.0,0,2,1,1.0,1,21513.0,1,2,0
300137,24.0,0,3,16.0,3,1,3,4.0,0,5.0,1,3.0,0,5,1,1.0,1,20468.0,1,0,1
300138,40.0,1,3,16.0,3,1,3,4.0,3,4.0,1,3.0,0,4,0,0.0,3,24705.0,1,2,0
300139,30.0,1,3,21.0,3,1,3,4.0,3,5.0,1,3.0,0,1,0,2.0,3,22140.0,1,1,0
300140,36.0,0,1,15.0,2,0,3,4.0,1,3.0,1,3.0,0,5,1,2.0,2,22826.0,1,2,0
300141,61.0,0,3,35.0,3,0,4,5.0,3,5.0,1,6.0,0,1,1,1.0,3,28944.0,2,4,0
300142,56.0,1,1,9.0,1,1,4,5.0,0,3.0,1,2.0,0,5,0,1.0,1,21340.0,1,4,0
300143,27.0,1,3,11.0,3,1,3,5.0,1,3.0,3,3.0,1,1,1,1.0,2,24506.0,1,1,1
300144,36.0,1,3,7.0,3,0,4,4.0,1,3.0,3,3.0,0,4,1,1.0,2,23537.0,1,2,0
300145,35.0,1,1,33.0,3,0,2,4.0,0,5.0,2,2.0,0,4,1,1.0,1,17559.0,1,1,0
300146,30.0,1,3,7.0,3,0,3,5.0,0,3.0,1,8.0,1,2,0,2.0,1,21478.0,1,1,1
300147,57.0,0,1,7.0,2,1,3,4.0,1,3.0,1,3.0,0,3,0,1.0,2,24984.0,1,4,0
300148,28.0,1,1,7.0,2,0,4,4.0,3,5.0,1,3.0,0,4,0,3.0,3,26090.0,2,1,0
300149,38.0,1,3,9.0,2,1,3,3.0,3,3.0,1,1.0,0,1,1,1.0,3,25609.0,2,2,0
300150,34.0,1,1,17.0,3,1,3,6.0,0,3.0,1,2.0,0,5,0,1.0,1,22086.0,1,1,1
300151,60.0,1,1,10.0,3,0,3,2.0,0,5.0,1,6.0,1,1,0,2.0,1,21348.0,1,4,0
300152,30.0,1,3,16.0,3,1,3,4.0,1,3.0,1,2.0,0,1,0,1.0,2,21578.0,1,1,0
300153,33.0,1,1,11.0,2,0,4,5.0,1,3.0,0,3.0,0,4,1,1.0,2,24840.0,1,1,0
300154,26.0,1,3,20.0,3,1,3,4.0,0,3.0,0,3.0,0,3,1,1.0,1,20774.0,1,1,0
300155,38.0,1,1,17.0,3,0,4,4.0,0,4.0,1,3.0,0,1,1,1.0,1,22614.0,1,2,0
300156,48.0,1,3,8.0,3,1,2,4.0,1,4.0,3,1.0,1,1,1,0.0,2,22898.0,1,3,1
300157,21.0,1,3,16.0,2,1,3,4.0,0,5.0,3,3.0,0,1,0,2.0,1,21406.0,1,0,0
300158,28.0,1,1,9.0,3,1,3,4.0,0,4.0,1,2.0,0,5,1,2.0,1,22146.0,1,1,0
300159,29.0,1,1,36.0,2,1,4,6.0,1,4.0,0,3.0,0,1,1,3.0,2,25227.0,2,1,0
300160,41.0,1,2,25.0,2,1,3,2.0,0,5.0,1,2.0,0,1,1,2.0,1,21065.0,1,2,1
300161,35.0,1,3,16.0,3,1,3,4.0,3,3.0,1,6.0,0,3,1,2.0,3,23168.0,1,1,1
300162,57.0,1,1,31.0,2,1,4,4.0,0,3.0,2,3.0,0,3,0,1.0,1,21265.0,1,4,1
300163,35.0,1,1,13.0,2,1,3,4.0,0,3.0,1,2.0,0,3,1,0.0,1,17690.0,1,1,0
300164,30.0,1,1,9.0,1,0,2,3.0,0,5.0,2,6.0,1,4,1,1.0,1,17657.0,1,1,1
300165,39.0,0,2,7.0,2,1,3,4.0,0,4.0,1,2.0,1,1,1,2.0,1,21669.0,1,2,0
300166,27.0,1,1,8.0,2,0,2,3.0,0,5.0,1,2.0,0,3,0,1.0,1,17341.0,1,1,0
300167,34.0,1,1,14.0,3,0,3,3.0,1,3.0,2,4.0,0,4,1,1.0,2,21142.0,1,1,0
300168,32.0,0,1,36.0,3,1,4,5.0,0,4.0,3,2.0,0,3,0,3.0,1,22157.0,1,1,1
300169,38.0,1,1,6.0,2,0,2,2.0,1,3.0,3,1.0,0,2,1,1.0,2,22625.0,1,2,0
300170,37.0,1,3,9.0,2,1,2,3.0,3,3.0,3,3.0,0,3,0,1.0,3,22428.0,1,2,0
300171,47.0,1,1,9.0,1,1,3,4.0,1,3.0,1,4.0,0,1,0,1.0,2,26057.0,2,3,0
300172,58.0,1,1,29.0,3,0,3,3.0,3,3.0,0,2.0,0,3,1,0.0,3,25312.0,2,4,1
300173,43.0,0,1,13.0,3,1,2,2.0,0,3.0,1,5.0,0,4,0,1.0,1,17089.0,1,2,0
300174,48.0,1,3,9.0,3,0,3,4.0,1,3.0,0,2.0,1,2,1,1.0,2,23215.0,1,3,0
300175,56.0,1,1,11.0,2,1,2,4.0,1,3.0,0,2.0,1,4,0,1.0,2,22713.0,1,4,0
300176,40.0,1,1,30.0,1,1,3,3.0,1,3.0,1,2.0,0,3,1,1.0,2,18319.0,1,2,0
300177,42.0,1,1,23.0,2,0,2,1.0,1,5.0,3,4.0,1,1,1,1.0,2,21545.0,1,2,0
300178,40.0,1,3,15.0,3,1,2,3.0,1,5.0,1,1.0,0,3,1,1.0,2,20473.0,1,2,0
300179,39.0,1,2,7.0,2,1,3,2.0,0,3.0,1,3.0,0,4,1,1.0,1,21522.0,1,2,0
300180,29.0,1,1,34.0,2,0,3,3.0,0,3.0,1,5.0,0,5,1,0.0,1,17514.0,1,1,0
300181,41.0,1,1,15.0,3,1,4,5.0,0,3.0,3,3.0,1,4,1,3.0,1,27772.0,2,2,1
300182,50.0,1,1,16.0,1,1,3,4.0,3,3.0,3,7.0,0,5,0,2.0,3,25496.0,2,3,0
300183,26.0,1,3,35.0,2,1,3,5.0,1,3.0,1,4.0,0,4,1,2.0,2,27317.0,2,1,0
300184,37.0,0,1,17.0,2,1,2,3.0,3,3.0,1,2.0,1,3,1,1.0,3,27185.0,2,2,0
300185,33.0,1,1,10.0,3,0,4,4.0,1,5.0,0,3.0,0,2,1,2.0,2,25403.0,2,1,0
300186,30.0,1,3,14.0,2,1,3,3.0,3,3.0,1,6.0,0,3,1,0.0,3,22264.0,1,1,0
300187,28.0,1,1,26.0,2,1,4,5.0,0,5.0,1,3.0,0,1,0,1.0,1,22744.0,1,1,0
300188,41.0,0,3,15.0,2,1,2,5.0,4,3.0,1,1.0,0,5,1,1.0,0,21151.0,1,2,1
300189,58.0,1,1,13.0,3,0,2,4.0,3,5.0,0,1.0,1,4,1,0.0,3,25008.0,2,4,1
300190,45.0,1,1,15.0,2,1,4,2.0,0,3.0,1,4.0,1,3,1,1.0,1,21496.0,1,2,0
300191,29.0,1,1,13.0,3,0,3,4.0,0,3.0,1,7.0,0,5,1,0.0,1,17532.0,1,1,0
300192,35.0,1,3,9.0,2,1,3,4.0,1,3.0,3,3.0,0,5,0,1.0,2,24952.0,1,1,0
300193,25.0,1,1,24.0,3,0,3,5.0,1,3.0,1,3.0,0,3,1,2.0,2,23055.0,1,0,0
300194,28.0,0,3,27.0,2,0,3,4.0,1,3.0,2,3.0,0,1,1,2.0,2,28659.0,2,1,0
300195,40.0,0,3,11.0,2,1,2,4.0,3,5.0,1,6.0,1,5,0,0.0,3,25475.0,2,2,0
300196,30.0,1,3,8.0,1,1,3,3.0,0,4.0,1,2.0,0,3,1,0.0,1,17476.0,1,1,0
300197,38.0,0,3,16.0,1,0,2,3.0,1,3.0,2,2.0,1,3,1,0.0,2,20666.0,1,2,0
300198,30.0,1,1,15.0,2,1,4,6.0,0,5.0,1,3.0,1,3,0,2.0,1,20797.0,1,1,1
300199,36.0,1,1,15.0,2,1,3,3.0,0,3.0,0,3.0,0,5,1,2.0,1,20947.0,1,2,0
300200,42.0,1,1,10.0,1,1,2,3.0,2,3.0,1,2.0,0,1,0,0.0,4,34232.0,2,2,0
300201,32.0,1,1,14.0,2,1,3,4.0,1,3.0,1,5.0,0,3,1,1.0,2,24593.0,1,1,0
300202,39.0,1,1,6.0,3,0,3,3.0,0,3.0,1,1.0,0,3,1,0.0,1,17232.0,1,2,0
300203,36.0,0,3,25.0,2,1,4,4.0,3,5.0,0,3.0,0,4,1,1.0,3,27747.0,2,2,0
300204,27.0,0,1,12.0,3,0,3,5.0,0,3.0,0,3.0,1,2,0,2.0,1,21044.0,1,1,1
300205,35.0,0,3,14.0,3,0,3,4.0,3,3.0,1,5.0,1,5,1,2.0,3,25377.0,2,1,0
300206,32.0,0,3,9.0,2,0,3,4.0,3,3.0,1,3.0,1,1,1,1.0,3,28530.0,2,1,0
300207,35.0,1,1,34.0,3,0,4,4.0,0,4.0,2,4.0,0,3,1,1.0,1,20989.0,1,1,0
300208,37.0,1,3,7.0,2,1,3,4.0,1,3.0,1,3.0,1,3,1,2.0,2,24879.0,1,2,0
300209,38.0,0,3,11.0,3,1,3,4.0,0,3.0,1,6.0,0,4,1,1.0,1,21471.0,1,2,0
300210,54.0,1,1,9.0,2,1,2,3.0,4,3.0,1,4.0,0,5,0,0.0,0,32779.0,2,3,0
300211,42.0,0,1,9.0,2,0,4,5.0,1,3.0,3,4.0,1,2,0,1.0,2,25489.0,2,2,0
300212,39.0,1,1,25.0,3,1,3,6.0,1,3.0,1,5.0,1,5,0,2.0,2,24489.0,1,2,0
300213,37.0,0,1,16.0,2,1,4,2.0,0,4.0,1,3.0,0,5,1,1.0,1,21488.0,1,2,0
300214,28.0,1,1,6.0,1,1,2,3.0,0,5.0,2,3.0,0,4,0,0.0,1,17080.0,1,1,0
300215,24.0,1,3,6.0,1,0,3,3.0,0,4.0,2,2.0,1,4,1,2.0,1,18202.0,1,0,1
300216,49.0,0,1,24.0,2,1,3,3.0,1,3.0,1,2.0,1,1,0,0.0,2,21804.0,1,3,0
300217,20.0,1,1,16.0,2,1,3,4.0,0,5.0,2,3.0,0,3,0,2.0,1,21230.0,1,0,0
300218,36.0,1,1,30.0,2,1,3,5.0,1,3.0,1,5.0,1,4,1,1.0,2,24594.0,1,2,1
300219,30.0,1,1,7.0,3,1,3,4.0,0,3.0,1,2.0,1,3,1,1.0,1,23465.0,1,1,1
300220,37.0,1,1,19.0,3,0,3,5.0,3,3.0,3,2.0,0,2,1,1.0,3,27536.0,2,2,0
300221,42.0,1,3,14.0,3,1,2,3.0,1,4.0,0,1.0,0,3,0,1.0,2,21825.0,1,2,0
300222,32.0,0,1,30.0,2,1,3,3.0,1,3.0,1,2.0,0,4,1,2.0,2,20309.0,1,1,0
300223,38.0,1,1,9.0,1,0,2,3.0,1,3.0,2,4.0,1,5,0,0.0,2,1000.0,0,2,0
300224,59.0,0,1,7.0,2,1,3,6.0,1,3.0,1,4.0,1,1,1,2.0,2,24338.0,1,4,0
300225,34.0,0,3,29.0,3,1,4,4.0,1,4.0,0,2.0,0,2,0,2.0,2,24824.0,1,1,0
300226,38.0,1,3,20.0,2,1,3,3.0,1,4.0,1,1.0,0,5,1,2.0,2,24924.0,1,2,0
